Symbol,Entry_Date,Entry_Price,SL,Risk_Pct,Target_RR6,Target_15pct,Quantity,Edge,Exit_Date,Exit_Price,Exit_Reason,Holding_Days,Partial_Booked,PnL,PnL_Pct,Max_Favorable_Pct,Max_Adverse_Pct
ABBOTINDIA,2025-09-03,32765.4,31252.37,4.62,41843.58,41843.58,3,FIBO 0.5-0.6,2025-09-05,31236.74,SL Hit,5,False,-4777.97,-0.48,0.03,-5.3
ABSLAMC,2025-09-08,847.59,820.56,3.19,1009.81,1009.81,184,UNKNOWN,2025-09-15,838.93,Trail 10 SMA,8,False,-1904.04,-1.22,4.01,-2.4
AADHARHFC,2025-10-06,520.19,502.44,3.41,626.66,626.66,278,FIBO 0.5-0.6,2025-10-08,512.99,Trail 10 SMA,3,False,-2287.42,-1.58,1.41,-2.73
AADHARHFC,2025-10-20,517.23,500.0,3.33,620.64,620.64,286,FIBO 0.5-0.6,2025-10-23,508.2,Trail 10 SMA,4,False,-2877.75,-1.95,4.79,-2.9
3MINDIA,2025-10-28,30230.34,29450.98,2.58,34906.5,34906.5,6,FIBO 0.5-0.6,2025-10-29,29436.25,SL Hit,2,False,-5122.51,-0.51,0.07,-2.75
AADHARHFC,2025-11-03,518.18,507.98,1.97,579.4,595.91,482,52W High,2025-11-04,507.73,SL Hit,3,False,-5534.43,-0.55,0.34,-2.16
AADHARHFC,2025-12-16,500.0,481.29,3.74,612.27,612.27,261,FIBO 0.5-0.6,2025-12-17,481.04,SL Hit,2,False,-5203.34,-0.52,0.0,-5.19
360ONE,2025-12-23,1172.44,1117.76,4.66,1500.52,1500.52,91,FIBO 0.5-0.6,2026-01-06,1186.41,Trail 10 SMA,15,False,1056.28,0.99,4.14,-1.23
3MINDIA,2025-12-30,35440.74,34031.8,3.98,43894.38,43894.38,3,FIBO 0.5-0.6,2026-01-06,35002.49,Trail 10 SMA,8,False,-1526.08,-1.44,5.26,-3.57
3MINDIA,2026-01-12,35325.51,33932.0,3.94,43686.57,43686.57,3,FIBO 0.5-0.6,2026-01-12,33915.03,SL Hit,1,False,-4439.15,-0.44,0.85,-4.67
360ONE,2026-01-16,1190.0,1115.27,4.4,1474.81,1474.81,97,FIBO 0.5-0.6,2026-01-20,1129.04,Trail 10 SMA,5,False,-6138.53,-5.32,3.88,-5.59
3MINDIA,2026-01-29,34168.2,32684.5,4.34,43070.4,43070.4,3,UNKNOWN,2026-02-13,35097.44,Trail 10 SMA,18,False,2579.93,2.52,11.3,-2.54
ABSLAMC,2026-02-10,826.65,796.95,3.59,1004.83,1004.83,168,FIBO 0.5-0.6,2026-02-27,893.15,Trail 10 SMA,20,False,10883.61,7.84,13.06,-1.84
AARTIIND,2026-04-08,420.0,393.81,4.43,521.64,521.64,273,UNKNOWN,2026-05-05,487.76,Trail 10 SMA (Partial booked),28,True,22870.47,19.95,24.55,-2.38
ABCAPITAL,2026-04-29,352.25,336.78,4.39,445.12,445.12,323,UNKNOWN,2026-05-11,352.77,Trail 10 SMA,13,False,-59.62,-0.05,6.73,-4.17
ABCAPITAL,2026-06-05,357.41,341.32,4.5,454.0,454.0,310,FIBO 0.5-0.6,2026-06-05,357.32,Trail 10 SMA,3,False,-250.14,-0.23,2.49,-1.26
ABB,2026-06-15,6965.4,6639.69,4.68,8919.66,8919.66,15,FIBO 0.5-0.6,2026-06-24,6964.02,Trail 10 SMA,10,False,-229.74,-0.22,4.86,-2.07
AADHARHFC,2026-06-19,496.99,480.79,3.26,594.23,594.23,300,UNKNOWN,2026-07-08,524.94,Trail 10 SMA,20,False,8077.04,5.42,13.28,-3.01
ABB,2026-06-29,7213.4,6921.13,4.05,8967.01,8967.01,17,UNKNOWN,2026-06-29,6917.67,SL Hit,1,False,-5267.61,-0.53,0.76,-4.53
360ONE,2026-07-03,1109.21,1058.48,4.57,1413.63,1413.63,98,FIBO 0.5-0.6,2026-07-08,1091.15,Trail 10 SMA,6,False,-1985.51,-1.83,4.04,-2.86
ABB,2026-07-15,6940.0,6702.07,3.34,8324.47,8324.47,21,FIBO 0.5-0.6,2026-07-27,7323.84,Trail 10 SMA,13,False,7761.02,5.33,14.19,-0.19
AARTIIND,2026-07-31,504.0,474.15,3.33,588.45,588.45,313,FIBO 0.5-0.6,2026-08-04,481.51,Trail 10 SMA,5,False,-7348.11,-4.66,2.57,-4.65
3MINDIA,2026-08-03,35771.4,34630.6,3.19,42616.2,42616.2,4,FIBO 0.5-0.6,2026-08-06,36000.0,End of Data,3,False,914.4,0.64,2.48,-2.1
AARTIIND,2026-08-06,493.54,479.59,2.83,577.21,577.21,364,FIBO 0.5-0.6,2026-08-06,501.2,End of Data,0,False,2790.03,1.55,0.0,0.0
